;video_id;comments;;;;;
10;k3J9oLCUIRs;"[""'No body gut time for this'"", 'I like turtles (pt.68) ALL I WANT FOR CHRISTMAS ISSSSSSSSSS turtles', 'Memes and jokes make the vids so much better 🤣', 'Yes part 11 pls', 'Good luck 👍', 'what happen to the helk anime', 'I appreciate your hard work so much!!!!', 'Part 11 please 🙏', 'All Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJj0a2KsAQYarA-TXUJW09r&si=9nCN0jrIAakQipzA', 'first, btw i love the content']";;;;;
11;E87sNSNBm60;"[""Anime - A Playthrough of a Certain Dude's VRMMO Life\n\nAll parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJNpnoYArlAYAWOIp1uBGnE&si=YXs77lP8CgH95JoH"", '😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊❤❤❤❤😂😂😂😂😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊❤❤❤❤😂😂😂😂😊', 'Why are the game executives meetings always so sketchy looking...', 'lets amke this the top comment', 'part 12🎉', 'I wonder what the shady company is gonna do with the A.I.?', 'gonna miss the series if 12th is last episode', 'I bet you the baby dragon is now imprinted on earth. It will turn into a really cute looking girl that also wants to marry him.', 'I knew that would happen xD. That the baby dragon would refuse to eat. It just seemed like the perfect story to happen.', 'nice']";;;;;
12;wFnnwez97hI;['Anime - Berserk of Gluttony \U0001fae1\n\nAll Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnULYKW3RuKB7Oj12HzVd2tD_&si=M_pi7vwd9mhndesx', 'The suspense!! Best recaps ever!', '😛😛😛😛😛😛❤❤❤❤❤👍👍👍👍👍👍👍👍👍', 'Gotta say Roxy and her fanatic lots points with me here, I mean he fought those jerks in self-defense and they wanted to punish him for it', 'hard fight and mask broke 🤔', 'w', 'finally', 'WHAT A GOATED EPISODE!!! guess i gotta wait a week so i can watch another ep of this masterpiece dang it!', 'Ninetalesrecaps  this part is w like all your recaps😎', 'man wth im 4th'];;;;;
13;TuQE43rsUnw;['I don’t mind', 'Early', 'Very fun story', 'I like turtles ( pt. Help me with this one pls', 'Dude sittin in the lunch room watching something \nMe: what chu watchin\nHim: some anime named shangri-la frontier \nMe: hell yeah you are. 🤌🏿👌🏿', 'The song in this episode lowkey went hard', 'W recap( i am late 😅😅😅)', 'Good', 'This series just gets better and better. I got to check out this anime', 'please upload more frequently'];;;;;
14;inJIRx2YnqE;"['All parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJqXt10mQw0S0hmi5JzEXc-&si=d4F1ouAPncT5CSgh\n\nAnime - The Kingdoms of Ruin', 'Please, part 11! ', '😢 not again her eyes 😭', 'This anime is boring af, the MC is not even op and the girl is just annoying af', ""Don't walk with weak ppl, they always drag you down\nMoral lesson - 😊"", 'An Incompetent duo💀😐', 'An Incompetent duo💀😐', 'The manga is getting good.', 'U are kinda annoying when u do that and leave it like this Cus u say episode comes to an end but Ik there is more than that Cus u did reposts whip th and extra 10 secs worth of knowledge in it!!!', 'Part 11 please 🙏']";;;;;
15;vgfpcD4fANs;['All parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUIdMmScsRrLqfwyIAWXHiZ4&si=G8ejVdXWQrctl1K4\n\nAnime - Spirits in Chinese Brushes', 'Please can you explain Hunter x hunter is very nice anime plz explain it for we', 'Next part plz', 'Great 🎉', '1:15\n\nGesundheit!', 'Lit', '🔥', 'Nice'];;;;;
16;17SBFR_Vh6U;['first a reincarnated as a hero, then as a demon lord, then as a sword, NOW A VENDING MACHINE BRO', '😛😛😛😛❤❤❤❤👍👍👍👍👍👍👍', 'Finally', 'Finally i im angry and happy rn', 'I wonder why it was echoed at 6:30', 'Great 👍', '🎉🎉🎉🎉'];;;;;
17;FqKRYc3h_OE;"['aint arthur that one guy from 7ds anime?', ""in the anime wasn't aurther agood person"", 'Good luck 🍀', 'Deez nuts part 1', '3', 'Lol! Ironside’s talk no jutsu didn’t work.', 'Egg part1', 'anime - the seven deadly sins: four knights of the apocalypse\n\nAll Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJVHsciGpEaa_XoqUq0QUBn&si=Irb7xv3bpfwobDL4']";;;;;
18;aLccq9eJyIk;"[""Anime - A Playthrough of a Certain Dude's VRMMO Life\n\nAll parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJNpnoYArlAYAWOIp1uBGnE&si=YXs77lP8CgH95JoH"", 'Where’s 11', ""2:19 u thought we wouldn't hear?🤣"", 'Earth is a Mega Bro!!!!!', 'As always Queen is a royal pain', 'Good luck 👍', 'This was a shock to see a person named Karen be nice', 'Early gang', 'Nice pt 11 next yh!', 'Love the Vids']";;;;;
19;4_klwgAqGm0;['Anime - Berserk of Gluttony \U0001fae1\n\nAll Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnULYKW3RuKB7Oj12HzVd2tD_&si=M_pi7vwd9mhndesx', 'I need more', 'Thanks for this', 'Yesss', 'Thank you for the video 😊', 'We need pt 11 now asap', 'Ok pt 11 next', 'Good 👍', 'Next part11', 'Fourth'];;;;;
20;srC6AkYdThQ;"['Anime - Shangri-La Frontier \U0001fae1\n\nAll parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJuneQ5JM99YhMs65dkeBDD&si=tnKdPa8nh5ueMHp1', 'Part11.   please please, please please please', 'Run bunny. He plans to kill god.', 'Part 11 😅😅😅😅', ""Sure, I'll watch the short form after the long form, today. 😂"", 'Dude I love you son raku', ""Dude has no life and his parents aren't bothered with him gaming all day...\n\n\n\nI wish I was him"", 'It seems that i just found my new best recap', 'Awesome vid mate', 'Day two of saying you are the best analyser']";;;;;
21;c7UTbF4TD1A;"['All parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJqXt10mQw0S0hmi5JzEXc-&si=d4F1ouAPncT5CSgh\n\nAnime - The Kingdoms of Ruin', ""DON'T DESTROY ALL OF THE DOLLS BRO 😅"", 'Please where can I see the real series', ""Ep9 I figured that they were gonna end the season after this battle. Because not much important happened after and is a some what good points to end the season. Also it's were I'm currently at in the manga."", 'Now, I know all of y’all‘s birthday hehre \n\n\n\n\n\n\n\n\n\n\n\n\n\n\nAlso, never put your birthday online', 'Good 🎉', 'Yh', 'yoo this was the anime i wanted to watch!', 'I like turtles (pt.64)', 'Hi i love your videos']";;;;;
22;JGJfQsykllw;"['reminds me of the american medical system, arm and a leg for a band aid', ""At least he didn't get killed by a truck."", 'He wasent killed by truck-kun but he was killed by bullet-kun', 'Name please', 'Wait... so youre telling me the story of a dude that spent like 19 years on steroids that boost training became overpowered. And the stedoids are basically a double training effect only, wow what a suprise.', 'Btw they didn’t call him the healer masso zombie they called him the healer massochist', 'The USA governments like high medical fees and so control the supply.  It is for the economy not individuals wealth.', ""0:00: 🐉 A vanilla salesman gets reincarnated into a realm of magic and monsters after a life-threatening incident.\n7:33: 💔 A healer fails to save a party member and decides to level up at the adventurer's guild.\n14:50: 🥊 A beginner in martial arts learns from an experienced instructor and faces a challenging opponent.\n22:13: ⚔️ Luc is preparing to become a healer to increase his chances of survival in the dangerous world of adventurers.\n29:33: 📚 After a year of training, Luil is preparing to enter the real world and improve his skills with the help of his instructor.\n36:54: 🏥 The video discusses the healthcare oligarch's expensive treatment and the power of healing.\n44:40: 🕵️ Galba and his team plan to take down corrupt actors in the Healer Guild and train Lucil to become stronger.\n51:47: 🔮 A priest is summoned by a telepathic communication device to meet with Lumina and encounters magical elements in a large building.\n59:33: 🎮 A gamer makes progress in a labyrinth, faces challenges, and encounters a surprise in a boss's room.\n1:06:36: 🧙\u200d♂️ A talented healer with unusual abilities faces challenges and learns valuable lessons.\n1:14:03: ⚔️ Lucille receives a new nickname and prepares for a mission in the Labyrinth, much to the concern of his friends.\n1:21:27: ⚕️ A healer is busy saving lives while adventurers try to find out the needs of a Beast folk child, and the girls may have come to inform him of their marriage.\n1:28:46: ⚔️ Lil faces a tough boss in a game, using various techniques and spells to survive the fight.\nRecapped by TammyAIchat"", 'Please ship him to America, that was funny.', 'Same']";;;;;
23;KtFypnBvyWY;"[""There's a lot of jelousy in this video also when the battle began I liked how instead of saying it starts off with him holding a gun he said it starts off with him holding America!!!!"", 'I never knew that a video about my happy marriage could get this kind of title 💀 the robot does not pronounce Miyos name right and as a reader and watcher from the start, the robot makes me mad.', 'Lol Enel', 'Thank you for another terrific upload! Great story and recap. I always look forward to your shares.', 'Next part', 'Ok ok happy marriage', 'nice long time', ""When I grow up I'ma create a anime game like with free roaming like GTA v for all anime fans or lovers"", 'wsp gamers today i will be actually talking something that’s not first or smt today we are gonna be talking abt how ugly u are jk ur the most handsome / pretty person ever so take this as a compliment for ur day.🎉🎉🎉🎉🎉', 'Wishing you a great 24hours']";;;;;
24;9jJeBexmZoY;['anime - the seven deadly sins: four knights of the apocalypse\n\nAll Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJVHsciGpEaa_XoqUq0QUBn&si=Irb7xv3bpfwobDL4', 'Sin is prob another Chaos agent', 'Plot armor on steroids', 'Is this seven deadly sins?', 'I am your 60 Like', 'Hi', 'nice', 'pls tell me', 'when did you watch this?', 'Early Cant wait for part 8'];;;;;
25;bzwfWURr5yQ;"[""Anime - A Playthrough of a Certain Dude's VRMMO Life\n\nAll parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJNpnoYArlAYAWOIp1uBGnE&si=YXs77lP8CgH95JoH"", '1:12\nEarth: NO HUNGRY! *wack!*', ""love watching these while driving for work. an anime based on a game....why don't we have a game that we can physically play like this. I don't even care if it's vr I just like the idea of the open world and the dynamics"", ""Love this series can't wait for part 10"", '8:15 shout out to feet juice callback', 'Next part please', ""I can't wait for next episode. Keep it up. I like listening to it and watch lol"", '21+1=22', 'Moree', 'Trex 1000s lol lemme get one of those']";;;;;
26;SLimpCm6yQ8;"['Anime - Berserk of Gluttony \U0001fae1\n\nAll Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnULYKW3RuKB7Oj12HzVd2tD_&si=M_pi7vwd9mhndesx', 'Kk', 'do you know anicap', 'very good must say', 'I like turtles (pt.62) 7 vidoesssss….', 'I want the lust one to have lika a pride wand or something like that', 'Yo bro when will ""I like turtles"" guy get a shoutout', 'Good 👍', 'This is the best recap channel', 'this is by far the best video of yours ive ever seen. KEEP UP THE GOOD WORK!']";;;;;
27;1o2PWOOcTCk;['Anime - Shangri-La Frontier \U0001fae1\n\nAll parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJuneQ5JM99YhMs65dkeBDD&si=tnKdPa8nh5ueMHp1', 'Where to watch this anime', 'Great', 'Good 👍', 'Wwwwwwww❤❤❤', 'please continue this anime', 'Ok', 'i hate turtles part 60', '21-4=17', 'Do we have to do the recap every episode'];;;;;
28;Yb12zeKhTCA;['All Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJj0a2KsAQYarA-TXUJW09r&si=9nCN0jrIAakQipzA', '6:02 Yo, this knockoff Hunger Games mode is lit fire.', 'Part 9 please 🙏', 'Part 9 please 🙏', 'Kk', 'Awesome thanks 👍', 'So basically in the entire espidoes they went upstairs to attack from below, the plan didn’t work so they are fighting upstairs where romantica and the sword one are in danger and nobody is getting anywhere is Desser’s fight', 'Keep up the good work ninetales', 'Only 7 comments after 2 hours!', 'I like turtles (pt.60) you all know what’s coming uppp'];;;;;
29;9wbp-78a7W0;"['All parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJqXt10mQw0S0hmi5JzEXc-&si=d4F1ouAPncT5CSgh\n\nGuys, nothing much happened this episode, I tried to milk it as much as I could, but it was like trying to get milk out of a malnourished cow 😂\n\nAnime - The Kingdoms of Ruin', ""I DON'T LOVE MY WIFE THAT MUCH."", 'Turned the booze into Cosby sause.', 'Shes dead💀', '6 minutes only ', 'Part 9 please 🙏', 'good luck', 'First comment 😊', 'I like turtles (pt.59)']";;;;;
30;#NAME?;['anime - the seven deadly sins: four knights of the apocalypse\n\nAll Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJVHsciGpEaa_XoqUq0QUBn&si=Irb7xv3bpfwobDL4', 'What happened to meliodas ?', 'I thought meliodas was supposed to have the key', 'That iron sight guy looks exactly like that demon fron seven deadly sins season 2 who tried to run from Escador', 'Good 👍', 'Part 7 please 🙏', 'Merlin the mage, and you all said why does it look like it XD', 'hi', '3rd to comment n like', 'I like turtles (Pt.57)'];;;;;
31;Knwl_ofS5-4;"[""Anime - A Playthrough of a Certain Dude's VRMMO Life\n\nAll parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJNpnoYArlAYAWOIp1uBGnE&si=YXs77lP8CgH95JoH"", '9:27 my name is Aayam', 'THE ONE PIECE IS REAL!!!!', 'That trap room in the 5th floor gave me flashbacks to SAO when they get trapped and all killed', ""I love that they treat the sentai squad as being cool and not just goofy or arrogant. Yeah they share a braincell, but it's really endearing to see how they were presented. Good job show."", ""0:14: 🎮 A man named Earth chooses weak skills in a VRMMO game, but they turn out to be more useful than expected.\n3:42: 🏹 Earth defeats the queen in a spectacular fight and earns her respect.\n7:18: 🌟 Earth, a celebrity, is confronted by Naser who tries to recruit him, but Earth remains uninterested and focused on his work.\n10:53: 🎮 The video discusses a new server, status effects, and a challenging new dungeon in the game.\n14:26: ⚔️ A group of Rangers navigate through traps and obstacles with the help of a new member.\n17:57: 🔒 A group of players encounter a dangerous chest and face the consequences of their greed.\n21:38: 🗡️ Earth, a benevolent Thief, joins the Red Power Ranger for a dungeon run and uses his skills to navigate through the challenges.\n25:12: ⚔️ A battle ensues as the Knight is taken over by an evil spirit and Earth struggles to defend himself.\n28:34: 🎮 A player defeats a secret boss and receives a powerful sword as a reward in the game.\n32:12: ⚔️ The party prepares to face dangerous enemies on the fifth floor, including the Lesser Lich.\n35:39: 🛡️ A man fulfills the requests of the Queen's sister and discusses game mechanics with Black at the workshop.\nSummarized by TammyAIsummaries"", 'Does anybody know the tittle of the anime?...', 'Those new skills were trash so I can’t have a familiar so I gotta hit someone 7 times in order for my skill to activate smh that sucks sounds like slow start from pokemon', 'Dude got me invested in summaries 😅😂', 'Keep ‘em coming, great commentary']";;;;;
32;w0IL0QAmRT8;"['Anime - Berserk of Gluttony \U0001fae1\n\nAll Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnULYKW3RuKB7Oj12HzVd2tD_&si=M_pi7vwd9mhndesx', 'this seems inspired by seven deadly sins', '4 episodes for 40 minutes - if you spend additional 40 minutes, you can watch all the episodes full.', 'Awesome', 'Hmm, previously you\'re used this name for ""A Playthrough of a Certain Dude\'s VRMMO Life"" anime. What\'s up? MC of Berserk clearly not picked his skill :)', 'SLOTH IS TO BUSY PESTERING ME,', 'GLUTTON,LUST&GREED.', ""Ayo g you are a fucking legend, never liked anime during my younger years got into it and you've helped me choose the ones I've wanted to watch. Love bro"", 'Okay okay great', 'that was a great video!!!']";;;;;
33;NGjvvFTaiuI;"['Anime - Shangri-La Frontier \U0001fae1\n\nAll parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJuneQ5JM99YhMs65dkeBDD&si=tnKdPa8nh5ueMHp1', 'gyat', ""Really well done recap.\nLike the added jokes, but also the fact they aren't overdone :)"", 'Nine-Talez Recaps is the best anime recap.  I have been silently watching everyday since past 6 months. Thank you 😊. I really enjoy 😉', 'I am an OG been here since the darial the aura user thing i forgot 😅', 'Thank you for the video 😊', '👍', 'Gold ❤❤❤', 'am i the only one who hates Rey and thinks that it should only be abt bird head?', 'Im ready for part 9 also 14th']";;;;;
34;Yxlx8vAFUSQ;['All Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJj0a2KsAQYarA-TXUJW09r&si=9nCN0jrIAakQipzA', 'Yes', 'Great', 'anime name', 'so quick?', 'Can you do some love one in Ss rank for like 2 hours', 'Sup big bro', 'hello 😂'];;;;;
35;LWWmsxaEKRg;['All parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJqXt10mQw0S0hmi5JzEXc-&si=d4F1ouAPncT5CSgh\n\nAnime - The Kingdoms of Ruin', 'DUDE IS STRAIGHT SAVAGE', 'I hope they bring Chloe back, I loved her and that was fucked up, how they killed her.', 'GARBAGE anime...🙄 sorry but i dont like this stupid written Story with a ridicolus OP  MC without any sense...🙄🙄', 'I just can’t really empathise with this guy, considering he’s so heartless he will kill innocents to get what he wants. Even if he does repent on his actions later, how can there be any justification for what he has done?', 'Wow 😮', 'Ok ok.', 'Lady is riding that motorcycle and dunno how to stop? I swear she was about to blow up crashing into something', 'Part 8 please 🙏', 'have any other anime caught ur eye yet to be recapped?'];;;;;
36;Km2V2tg9Fl4;['Garbage intro.  It is true.  All good comedians are dead.', 'I like pure power of perfection part 1', 'nice', 'What is anime name', 'Not even 10 sec and shots fired at bill cosby', 'Thanks, I enjoyed the recap & look forward to part 7. I have seen some of these before but, not all.', 'I’ll take millionth power fantasy for 200', 'Ok, we are all thinking this, but not one has asked, so I will. \n\nAny chance you could post full anime shows but with your voice as the narrator? Please! 😂 \n\nLove your stuff. Thank you for making these videos they help deal with day by day BS even if it only lasts until the next video ❤👍🙂', 'Yes', 'Mhm mhm... perfections  *starts to shine*'];;;;;
37;xerfzUR70tA;"['Title', '19:55 whyyy 😫', 'BRO TOOK A PAGE AT ZOROS BOOK GOT ME LAUGHING NGL', 'Imagine he hits her with the wrong bullet (fire girl)', 'I like turtles (Pt.48)', 'Thx man, this was a lot of work.', 'This anime is very good, I recommend it', 'Nice', ""This is a crazy but entertaining anime, and the explanation of it is one of the better ones I've heard on YT.  Many of the other review channels missed out on explaining or glossed over certain details which were properly explained in this video.  Good work."", 'So when is season 2 coming out?']";;;;;
38;#NAME?;"[""Anime - A Playthrough of a Certain Dude's VRMMO Life\n\nAll parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJNpnoYArlAYAWOIp1uBGnE&si=YXs77lP8CgH95JoH"", 'Thanks, I enjoyed the recap & look forward to part 8.', 'Next part please❤❤❤❤❤❤❤', 'Did you have to end it right there I literally would have done a few more minutes you lazy bum but other than it being short it was great', 'thank you I have watched other youtubers do this but not very far into the series thank youu\\', ""We need more of this one can't end it like this"", ""thank you, I've thoroughly enjoyed this series so far. I appreciate you recapping it"", 'Ok ok yh', 'nice', ""What's funny is I'm actually building a game right now where players have to unlock weapons through various tasks/bosses/quests/achievements/etc...\nEach weapon is basically an entirely different class as you would see in WoW or something.""]";;;;;
39;OddUNsQn55E;['No name for anime in comments?', 'What app?', 'Nice. Ty', 'Sup\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nこれを翻訳したのはあなたですよね', 'Lets go new series', 'New series', 'Why does Ba looks like Vale from Mobile legend?Anyone?', 'nice'];;;;;
40;dCx59DgekVs;['Can I get a shout out?', 'thanks !', 'Thank you for those small details others dont mention👍', 'I wish you would swap the word gluttony with horny', 'No one ever talks about the content of the video, lol.', 'Great video, thank you 😊', 'Another bangor!!!', 'Two Bangor videos in the same day ❤❤❤❤', 'YOOO', 'It here yes'];;;;;
41;I8_Xu3rsjPk;"['Anime - Shangri-La Frontier \U0001fae1\n\nAll parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJuneQ5JM99YhMs65dkeBDD&si=tnKdPa8nh5ueMHp1', '0:27: 🎮 A gamer named Hisomea plays a highly rated VR game, while his admirer Ray plans to find him there.\n2:11: 🎮 A player faces off against enemies while replaying an apology and dreaming of ranking up in a gaming clan.\n6:30: 🐺 A skilled warrior defeats a pack of monsters and completes practical training.\n8:36: 🎮 A gamer faces challenges and encounters a powerful monster in a virtual world.\nSee more at TammyAITammyAI', 'I have full episode with original audio any one want?', 'Which text to speech software do you use', 'More episodes', 'next part plz', 'Yes! YES! ""The bootleg Skyrim player..."" 😂\n\nStay reading my mind 😀', 'thanks !', 'Tysm', 'I was waiting so long for part 7']";;;;;
42;SlkgjH4sdso;['All parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJqXt10mQw0S0hmi5JzEXc-&si=d4F1ouAPncT5CSgh\n\nAnime - The Kingdoms of Ruin', 'Mhm mhm', 'Spoiler\n\n\n\n\n\nI knew the queen was sus', 'ninetales has to be the best and funniest anime recapper known to man kind', 'I like turkeys we do a Little Bit of trolling nah I like turtles part uhhh let me check (pt.46)', 'Part 7 please 🙏', 'i think adonis wanna ge shaboinked by cloe', 'true definition of woke up and chose violence', 'lets gooooooo daddddy', 'Sup'];;;;;
43;NROgwwwoUe0;"[""4:47: 👦🏼 A boy falls asleep outside and has a vision of Vergis, then encounters Ironide who is an old friend of his grandfather.\n9:10: 👦🧭 A boy embarks on a journey after his grandfather's passing, wearing his cape and helmet.\n13:56: 🎭 Peral impresses The Troop with his archery skills and earns a free trip to the Village to gather more information.\n22:39: 🤺 A young boy challenges the Black Knight to a fight, but is warned of his inexperience.\n27:24: 🦊 A fox named Sin convinces Donnie to go on an adventure to find Camelot, despite his skepticism.\n31:48: 🧪 A group of characters encounter a hostile herbalist who conducts strange drug experiments and injections.\n36:33: 🌿 A herbalist uses magic to counter the effects of a purple mist and revive the forest and wildlife.\n40:55: 🐉 A boy with magical powers farts instead of using magic, leading to chaos and conflict with a dark knight.\n45:35: ⚔️ Peral uses his magic to defeat the Holy Knight in a battle of spells and weapons.\nSee more at TammyAIsummaries"", 'anime - the seven deadly sins: four knights of the apocalypse\n\nAll Parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJVHsciGpEaa_XoqUq0QUBn&si=Irb7xv3bpfwobDL4', 'Name', 'Part 6 please 🙏', 'NEXT PSRT PLZ', 'So this is the origin of the Seven Deadly Sins..', 'Meliodas? Is that you in another universe?', 'Hey guys are going on in the past 9', 'What is it called?', 'It was his dad']";;;;;
44;AaEHbKlTJPI;"[""Anime -  a returner's magic should be special\n\nPart 1 - 4 - https://youtu.be/cOARV9aRYGw"", 'A returners magic should be special', 'Will Smith ok 😅', 'Second', 'Am Iate for this??', '', '1 hour gang 👍', 'Watching thess vids are always great!', 'First']";;;;;
45;BNRfyHYQ1xE;"[""Anime - A Playthrough of a Certain Dude's VRMMO Life\n\nAll parts so far - https://youtube.com/playlist?list=PLHjftIWKOnUJNpnoYArlAYAWOIp1uBGnE&si=YXs77lP8CgH95JoH"", 'Good series, thanks for finding it and bringing it to us.', 'Still waiting for the gay fanfiction about this guy in the person that makes armor', 'Thanks onto the next.', '8:17 Nice', 'Wow', 'Cant wait for the next episode because its so good', 'Next part please❤❤❤❤❤', 'i js saw dababy', 'Friend got a husband. Lol']";;;;;
